#: :type=:list
#source	HGNC_name	dbTF	coTF	in_AGS
MAP3K10	mitogen-activated protein kinase kinase kinase 10 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
MED1	mediator complex subunit 1 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
MED10	mediator complex subunit 10 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
MED12	mediator complex subunit 12 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
MED12L	mediator complex subunit 12L [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
MED13	mediator complex subunit 13 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
MED13L	mediator complex subunit 13L [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
MED14	mediator complex subunit 14 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
MED15	mediator complex subunit 15 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
MED16	mediator complex subunit 16 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
MED17	mediator complex subunit 17 [Source:HGNC Symbol		coTF	dbTFs_OR_coTFs_in_AGS
